0.02.973.409 I 
Computing statistics for /mnt/raid0/llm/tmp/expert-routing-skew-glm52-20260717T-production-representative/expert-routing-skew.imatrix.gguf (1002 tensors)
0.02.973.414 I 
 Layer	       Tensor	          Σ(Act²)	  Min	            Max	           μ	   σ	 % Active	N	   Entropy	E (norm)	ZD	  CosSim
0.02.973.414 I =========================================================================================================================================================================
0.02.974.267 I    32	ffn_down_exps       	   1157.65	  0.0000	     2.2369	  0.00	  0.01	  100.00%	524288	   18.5148	 97.45%	      2.20%	  0.0472
0.02.974.269 I    31	ffn_down_exps       	    950.65	  0.0001	     0.7797	  0.00	  0.00	  100.00%	524288	   18.5695	 97.73%	      3.24%	  0.0015
0.02.974.270 I    30	ffn_down_exps       	    809.73	  0.0002	    39.0412	  0.00	  0.06	  100.00%	524288	   17.4425	 91.80%	      0.01%	  0.0017
0.02.974.272 I    29	ffn_down_exps       	    563.14	  0.0000	     1.2874	  0.00	  0.00	  100.00%	524288	   18.5568	 97.67%	      1.57%	  0.1068
0.02.974.274 I    28	ffn_down_exps       	    438.20	  0.0001	     0.3409	  0.00	  0.00	  100.00%	524288	   18.6264	 98.03%	      3.30%	  0.1445
0.02.974.276 I    27	ffn_down_exps       	    338.12	  0.0001	     0.6954	  0.00	  0.00	  100.00%	524288	   18.6171	 97.98%	      2.26%	  0.1517
0.02.974.277 I    26	ffn_down_exps       	    236.11	  0.0000	     0.1616	  0.00	  0.00	  100.00%	524288	   18.6439	 98.13%	      2.88%	  0.1832
0.02.974.279 I    25	ffn_down_exps       	    202.78	  0.0001	     0.1285	  0.00	  0.00	  100.00%	524288	   18.6598	 98.21%	      4.02%	  0.2457
0.02.974.281 I    24	ffn_down_exps       	    170.81	  0.0000	     0.1154	  0.00	  0.00	  100.00%	524288	   18.6630	 98.23%	      3.82%	  0.0429
0.02.974.283 I    23	ffn_down_exps       	    152.23	  0.0000	     3.5772	  0.00	  0.01	  100.00%	524288	   17.9112	 94.27%	      0.04%	  0.0251
0.02.974.285 I    22	ffn_down_exps       	    135.30	  0.0000	     0.1057	  0.00	  0.00	  100.00%	524288	   18.4973	 97.35%	      2.80%	  0.0497
0.02.974.287 I    21	ffn_down_exps       	    107.41	  0.0000	     0.3688	  0.00	  0.00	  100.00%	524288	   18.4165	 96.93%	      1.04%	  0.0478
0.02.974.288 I    20	ffn_down_exps       	     79.12	  0.0000	     0.0952	  0.00	  0.00	   99.99%	524288	   18.5186	 97.47%	      2.81%	  0.0688
0.02.974.291 I    19	ffn_down_exps       	     63.86	  0.0000	     0.1067	  0.00	  0.00	   99.99%	524288	   18.5179	 97.46%	      2.34%	  0.0954
0.02.974.293 I    18	ffn_down_exps       	     52.05	  0.0000	     0.0404	  0.00	  0.00	  100.00%	524288	   18.5580	 97.67%	      2.74%	  0.0415
0.02.974.296 I    17	ffn_down_exps       	     33.24	  0.0000	     0.0894	  0.00	  0.00	   99.85%	524288	   18.2319	 95.96%	      1.14%	  0.0321
0.02.974.297 I     9	ffn_down_exps       	     27.33	  0.0000	    11.5824	  0.00	  0.02	   12.42%	524288	    6.2904	 33.11%	      0.01%	  0.0000
0.02.974.300 I    16	ffn_down_exps       	     26.44	  0.0000	     0.0538	  0.00	  0.00	   99.39%	524288	   18.2685	 96.15%	      1.26%	  0.0445
0.02.974.301 I    15	ffn_down_exps       	     20.08	  0.0000	     0.0537	  0.00	  0.00	   98.68%	524288	   18.3381	 96.52%	      1.39%	  0.0655
0.02.974.303 I    14	ffn_down_exps       	     18.98	  0.0000	     0.0417	  0.00	  0.00	   97.43%	524288	   18.2217	 95.90%	      1.15%	  0.0212
0.02.974.306 I    13	ffn_down_exps       	     15.31	  0.0000	     0.0824	  0.00	  0.00	   94.08%	524288	   18.1194	 95.37%	      0.56%	  0.0137
0.02.974.307 I    12	ffn_down_exps       	      7.11	  0.0000	     0.0320	  0.00	  0.00	   30.44%	524288	   17.4756	 91.98%	      0.83%	  0.0073
0.02.974.309 I    11	ffn_down_exps       	      6.14	  0.0000	     0.0627	  0.00	  0.00	   22.40%	524288	   17.2574	 90.83%	      0.47%	  0.0009
0.02.974.310 I    10	ffn_down_exps       	      6.06	  0.0000	     0.6975	  0.00	  0.00	   15.92%	524288	   14.8727	 78.28%	      0.02%	  0.0001
0.02.974.312 I     7	ffn_down_exps       	      3.26	  0.0000	     0.1808	  0.00	  0.00	    4.85%	524288	   14.5991	 76.84%	      0.09%	  0.0008
0.02.974.314 I     6	ffn_down_exps       	      1.72	  0.0000	     0.0395	  0.00	  0.00	    2.59%	524288	   14.3238	 75.39%	      0.25%	  0.0007
0.02.974.315 I     5	ffn_down_exps       	      0.55	  0.0000	     0.0146	  0.00	  0.00	    1.09%	524288	   14.3055	 75.29%	      0.28%	  0.0009
0.02.974.317 I     4	ffn_down_exps       	      0.29	  0.0000	     0.0061	  0.00	  0.00	    0.49%	524288	   13.9336	 73.33%	      0.25%	  0.0001
0.02.974.319 I     3	ffn_down_exps       	      0.07	  0.0000	     0.0079	  0.00	  0.00	    0.10%	524288	   10.4511	 55.01%	      0.07%	  0.0000
0.02.974.320 I    77	ffn_down_shexp      	  10659.63	  0.0055	  1778.8529	  5.20	 52.06	  100.00%	  2048	    6.5811	 59.83%	      1.61%	  0.0057
0.02.974.322 I    75	ffn_down_shexp      	   1842.83	  0.0069	  1079.5370	  0.90	 24.77	  100.00%	  2048	    3.5888	 32.63%	      0.15%	  0.0107
0.02.974.324 I    76	ffn_down_shexp      	   1752.97	  0.0107	   540.9337	  0.86	 13.13	  100.00%	  2048	    5.7251	 52.05%	      0.63%	  0.0008
0.02.974.326 I     9	ffn_down_shexp      	   1483.88	  0.0000	   773.9735	  0.72	 18.76	   15.92%	  2048	    2.0542	 18.67%	      0.29%	  0.0000
0.02.974.328 I    29	ffn_down_shexp      	    935.65	  0.0001	   615.7625	  0.46	 14.04	  100.00%	  2048	    1.9093	 17.36%	      0.24%	  0.0002
0.02.974.330 I    73	ffn_down_shexp      	    324.45	  0.0067	    55.5420	  0.16	  1.29	  100.00%	  2048	    8.8590	 80.54%	      0.49%	  0.0128
0.02.974.331 I    74	ffn_down_shexp      	    311.09	  0.0060	    12.7786	  0.15	  0.36	  100.00%	  2048	    9.9722	 90.66%	      3.08%	  0.0580
0.02.974.333 I    72	ffn_down_shexp      	    285.17	  0.0050	    63.7938	  0.14	  1.46	  100.00%	  2048	    8.3732	 76.12%	      0.29%	  0.0434
0.02.974.335 I    71	ffn_down_shexp      	    192.15	  0.0059	     9.8044	  0.09	  0.26	  100.00%	  2048	    9.9142	 90.13%	      2.98%	  0.2056
0.02.974.336 I    69	ffn_down_shexp      	    137.94	  0.0050	    12.0754	  0.07	  0.30	  100.00%	  2048	    9.6035	 87.30%	      1.32%	  0.0346
0.02.974.338 I    23	ffn_down_shexp      	    132.13	  0.0000	    50.8717	  0.06	  1.64	   89.99%	  2048	    1.8502	 16.82%	      0.20%	  0.0002
0.02.974.340 I    70	ffn_down_shexp      	    130.76	  0.0062	     2.5896	  0.06	  0.11	  100.00%	  2048	   10.1425	 92.20%	      7.13%	  0.1280
0.02.974.342 I    68	ffn_down_shexp      	    123.55	  0.0046	    16.7494	  0.06	  0.38	  100.00%	  2048	    9.2794	 84.36%	      0.49%	  0.0257
0.02.974.343 I    67	ffn_down_shexp      	     96.55	  0.0041	    10.5715	  0.05	  0.25	  100.00%	  2048	    9.3470	 84.97%	      1.12%	  0.0370
0.02.974.345 I    65	ffn_down_shexp      	     93.67	  0.0023	    21.6260	  0.05	  0.60	  100.00%	  2048	    7.2933	 66.30%	      0.24%	  0.0035
0.02.974.347 I    66	ffn_down_shexp      	     65.71	  0.0037	     5.3899	  0.03	  0.13	  100.00%	  2048	    9.6704	 87.91%	      1.81%	  0.0170
0.02.974.349 I    64	ffn_down_shexp      	     63.38	  0.0025	    20.6360	  0.03	  0.46	  100.00%	  2048	    7.7124	 70.11%	      0.20%	  0.0031
0.02.974.350 I    63	ffn_down_shexp      	     51.01	  0.0024	    17.6892	  0.02	  0.39	  100.00%	  2048	    7.5655	 68.78%	      0.15%	  0.0020
0.02.974.352 I    62	ffn_down_shexp      	     50.44	  0.0020	    18.8651	  0.02	  0.42	  100.00%	  2048	    7.3131	 66.48%	      0.15%	  0.0026
0.02.974.354 I    61	ffn_down_shexp      	     46.55	  0.0019	    18.6470	  0.02	  0.41	  100.00%	  2048	    7.1458	 64.96%	      0.10%	  0.0037
0.02.974.355 I    60	ffn_down_shexp      	     45.16	  0.0018	    16.2439	  0.02	  0.36	  100.00%	  2048	    7.4339	 67.58%	      0.15%	  0.0027
0.02.974.357 I    59	ffn_down_shexp      	     44.11	  0.0018	    17.1918	  0.02	  0.38	  100.00%	  2048	    7.1995	 65.45%	      0.10%	  0.0028
0.02.974.359 I    58	ffn_down_shexp      	     33.46	  0.0016	    13.0358	  0.02	  0.29	  100.00%	  2048	    7.2308	 65.74%	      0.15%	  0.0024
0.02.974.360 I    50	ffn_down_shexp      	     32.61	  0.0014	    11.2689	  0.02	  0.25	  100.00%	  2048	    7.6312	 69.37%	      0.15%	  0.0036
0.02.974.362 I    55	ffn_down_shexp      	     30.65	  0.0015	    11.2285	  0.01	  0.25	  100.00%	  2048	    7.3655	 66.96%	      0.20%	  0.0034
0.02.974.364 I    57	ffn_down_shexp      	     30.13	  0.0014	     8.9725	  0.01	  0.20	  100.00%	  2048	    7.8355	 71.23%	      0.34%	  0.0051
0.02.974.365 I    56	ffn_down_shexp      	     27.16	  0.0016	     6.2914	  0.01	  0.14	  100.00%	  2048	    8.2849	 75.32%	      0.34%	  0.0042
0.02.974.367 I    52	ffn_down_shexp      	     26.53	  0.0016	     8.0154	  0.01	  0.18	  100.00%	  2048	    8.0520	 73.20%	      0.05%	  0.0051
0.02.974.369 I    54	ffn_down_shexp      	     25.81	  0.0017	     8.3897	  0.01	  0.19	  100.00%	  2048	    7.9712	 72.47%	      0.10%	  0.0179
0.02.974.370 I    49	ffn_down_shexp      	     25.06	  0.0013	     5.8934	  0.01	  0.13	  100.00%	  2048	    8.6956	 79.05%	      0.20%	  0.0169
0.02.974.372 I    51	ffn_down_shexp      	     24.63	  0.0014	     5.8895	  0.01	  0.13	  100.00%	  2048	    8.5125	 77.39%	      0.34%	  0.0047
0.02.974.373 I    48	ffn_down_shexp      	     20.08	  0.0013	     1.9596	  0.01	  0.05	  100.00%	  2048	    9.6547	 87.77%	      1.07%	  0.0335
0.02.974.375 I    53	ffn_down_shexp      	     19.51	  0.0017	     1.1001	  0.01	  0.03	  100.00%	  2048	    9.9308	 90.28%	      2.34%	  0.0445
0.02.974.376 I    47	ffn_down_shexp      	     19.33	  0.0013	     2.5273	  0.01	  0.06	  100.00%	  2048	    9.4255	 85.69%	      0.59%	  0.0191
0.02.974.378 I    46	ffn_down_shexp      	     15.64	  0.0009	     2.3680	  0.01	  0.05	  100.00%	  2048	    9.3308	 84.83%	      0.49%	  0.0646
0.02.974.380 I    43	ffn_down_shexp      	     13.59	  0.0007	     1.8433	  0.01	  0.04	  100.00%	  2048	    9.4284	 85.71%	      0.68%	  0.0281
0.02.974.382 I    42	ffn_down_shexp      	     13.20	  0.0008	     1.3259	  0.01	  0.04	  100.00%	  2048	    9.3833	 85.30%	      0.83%	  0.0317
0.02.974.383 I    44	ffn_down_shexp      	     12.61	  0.0009	     2.0516	  0.01	  0.05	  100.00%	  2048	    9.3888	 85.35%	      0.29%	  0.0236
0.02.974.385 I    45	ffn_down_shexp      	     12.34	  0.0008	     0.2905	  0.01	  0.01	  100.00%	  2048	   10.2058	 92.78%	      4.30%	  0.0565
0.02.974.386 I    31	ffn_down_shexp      	     11.72	  0.0003	     6.0317	  0.01	  0.13	  100.00%	  2048	    5.2934	 48.12%	      0.34%	  0.0016
0.02.974.388 I    28	ffn_down_shexp      	     11.19	  0.0000	     4.3609	  0.01	  0.11	  100.00%	  2048	    4.0803	 37.09%	      0.49%	  0.0037
0.02.974.390 I    41	ffn_down_shexp      	     10.50	  0.0005	     1.0318	  0.01	  0.02	  100.00%	  2048	    9.7028	 88.21%	      0.88%	  0.1057
0.02.974.391 I    40	ffn_down_shexp      	      9.07	  0.0007	     0.1817	  0.00	  0.01	  100.00%	  2048	   10.3170	 93.79%	      5.08%	  0.2433
0.02.974.393 I    39	ffn_down_shexp      	      7.97	  0.0005	     0.1777	  0.00	  0.01	  100.00%	  2048	   10.1337	 92.12%	      5.13%	  0.1183
0.02.974.395 I    30	ffn_down_shexp      	      7.68	  0.0002	     2.0047	  0.00	  0.05	  100.00%	  2048	    6.6275	 60.25%	      0.83%	  0.0011
0.02.974.396 I    36	ffn_down_shexp      	      7.38	  0.0002	     1.1822	  0.00	  0.03	  100.00%	  2048	    9.1392	 83.08%	      0.59%	  0.0225
0.02.974.398 I    38	ffn_down_shexp      	      6.93	  0.0006	     0.4936	  0.00	  0.01	  100.00%	  2048	   10.0171	 91.06%	      1.27%	  0.1072
0.02.974.399 I    35	ffn_down_shexp      	      6.81	  0.0004	     0.4541	  0.00	  0.02	  100.00%	  2048	    9.4674	 86.07%	      1.07%	  0.0873
0.02.974.401 I    24	ffn_down_shexp      	      6.41	  0.0000	     2.1573	  0.00	  0.06	   95.21%	  2048	    3.3065	 30.06%	      0.39%	  0.0001
0.02.974.403 I    37	ffn_down_shexp      	      6.02	  0.0004	     0.1722	  0.00	  0.01	  100.00%	  2048	   10.2113	 92.83%	      3.22%	  0.0514
0.02.974.404 I    32	ffn_down_shexp      	      4.99	  0.0002	     0.3684	  0.00	  0.01	  100.00%	  2048	    9.6634	 87.85%	      1.42%	  0.0075
0.02.974.406 I    33	ffn_down_shexp      	      4.83	  0.0003	     0.2951	  0.00	  0.01	  100.00%	  2048	    9.8817	 89.83%	      1.61%	  0.0590
0.02.974.407 I    34	ffn_down_shexp      	      4.78	  0.0004	     0.2281	  0.00	  0.01	  100.00%	  2048	   10.2282	 92.98%	      2.29%	  0.0997
0.02.974.409 I    25	ffn_down_shexp      	      3.57	  0.0000	     0.4875	  0.00	  0.02	  100.00%	  2048	    6.1978	 56.34%	      1.76%	  0.0054
0.02.974.411 I    27	ffn_down_shexp      	      1.69	  0.0000	     0.2088	  0.00	  0.01	  100.00%	  2048	    7.8662	 71.51%	      0.63%	  0.0401
0.02.974.412 I    22	ffn_down_shexp      	      1.58	  0.0000	     0.6513	  0.00	  0.02	   96.92%	  2048	    4.3670	 39.70%	      0.29%	  0.0243
0.02.974.414 I    26	ffn_down_shexp      	      0.71	  0.0000	     0.0349	  0.00	  0.00	  100.00%	  2048	   10.0599	 91.45%	      2.20%	  0.0729
0.02.974.415 I     8	ffn_down_shexp      	      0.63	  0.0000	     0.1800	  0.00	  0.01	    4.88%	  2048	    3.0959	 28.14%	      0.49%	  0.0020
0.02.974.417 I    14	ffn_down_shexp      	      0.54	  0.0000	     0.0425	  0.00	  0.00	   33.54%	  2048	    5.1839	 47.13%	      1.37%	  0.0108
0.02.974.419 I    21	ffn_down_shexp      	      0.23	  0.0000	     0.0075	  0.00	  0.00	   86.67%	  2048	    9.7633	 88.76%	      3.03%	  0.1320
0.02.974.421 I    20	ffn_down_shexp      	      0.15	  0.0000	     0.0050	  0.00	  0.00	   80.66%	  2048	    9.9072	 90.07%	      4.15%	  0.1598
0.02.974.422 I    19	ffn_down_shexp      	      0.11	  0.0000	     0.0033	  0.00	  0.00	   77.25%	  2048	   10.0417	 91.29%	      3.91%	  0.0665
0.02.974.424 I    18	ffn_down_shexp      	      0.09	  0.0000	     0.0087	  0.00	  0.00	   72.46%	  2048	    9.1894	 83.54%	      0.63%	  0.0132
0.02.974.426 I    12	ffn_down_shexp      	      0.08	  0.0000	     0.0425	  0.00	  0.00	   22.80%	  2048	    4.3800	 39.82%	      0.29%	  0.0052
0.02.974.427 I    17	ffn_down_shexp      	      0.08	  0.0000	     0.0156	  0.00	  0.00	   73.29%	  2048	    8.8653	 80.59%	      0.44%	  0.0158
0.02.974.429 I     6	ffn_down_shexp      	      0.06	  0.0000	     0.0095	  0.00	  0.00	    3.32%	  2048	    4.5738	 41.58%	      0.93%	  0.0256
0.02.974.430 I    16	ffn_down_shexp      	      0.05	  0.0000	     0.0056	  0.00	  0.00	   62.60%	  2048	    9.4585	 85.99%	      1.03%	  0.0254
0.02.974.432 I    10	ffn_down_shexp      	      0.05	  0.0000	     0.0466	  0.00	  0.00	    7.28%	  2048	    2.0028	 18.21%	      0.05%	  0.0002
0.02.974.434 I    15	ffn_down_shexp      	      0.04	  0.0000	     0.0053	  0.00	  0.00	   46.19%	  2048	    9.0929	 82.66%	      0.63%	  0.0167
0.02.974.435 I    13	ffn_down_shexp      	      0.02	  0.0000	     0.0024	  0.00	  0.00	   23.24%	  2048	    9.0713	 82.47%	      0.68%	  0.0039
0.02.974.437 I    11	ffn_down_shexp      	      0.01	  0.0000	     0.0020	  0.00	  0.00	   11.23%	  2048	    9.0416	 82.20%	      0.29%	  0.0010
0.02.974.438 I     7	ffn_down_shexp      	      0.01	  0.0000	     0.0034	  0.00	  0.00	    1.76%	  2048	    4.9003	 44.55%	      0.29%	  0.0014
0.02.974.440 I     4	ffn_down_shexp      	      0.00	  0.0000	     0.0001	  0.00	  0.00	    0.54%	  2048	    9.7308	 88.46%	      4.10%	  0.1992
0.02.974.441 I     3	ffn_down_shexp      	      0.00	  0.0000	     0.0000	  0.00	  0.00	    0.78%	  2048	    9.6406	 87.64%	      5.08%	  0.0000
0.02.974.443 I     5	ffn_down_shexp      	      0.00	  0.0000	     0.0001	  0.00	  0.00	    0.34%	  2048	    9.6994	 88.18%	      1.81%	  0.0794
0.02.974.446 I     2	ffn_gate            	      3.29	  0.0000	     1.1159	  0.00	  0.01	  100.00%	  6144	    8.2775	 65.77%	      0.10%	  0.6233
0.02.974.448 I     0	ffn_gate            	      3.27	  0.0001	     0.2935	  0.00	  0.00	  100.00%	  6144	   10.2603	 81.53%	      0.55%	  0.0000
0.02.974.449 I     1	ffn_gate            	      2.93	  0.0000	     0.4289	  0.00	  0.01	   99.95%	  6144	    9.6741	 76.87%	      0.37%	  0.0620
0.02.974.451 I    74	ffn_gate_exps       	 511918.78	  0.0752	     3.3632	  0.33	  0.09	  100.00%	1572864	   20.5387	 99.78%	     11.60%	  0.5972
0.02.974.453 I    75	ffn_gate_exps       	 496683.03	  0.0620	     3.4670	  0.32	  0.09	  100.00%	1572864	   20.5356	 99.76%	     11.76%	  0.6267
0.02.974.455 I    73	ffn_gate_exps       	 490712.69	  0.1097	     3.4475	  0.31	  0.08	  100.00%	1572864	   20.5417	 99.79%	     11.45%	  0.5278
0.02.974.457 I    72	ffn_gate_exps       	 478031.91	  0.1068	     3.1071	  0.30	  0.08	  100.00%	1572864	   20.5430	 99.80%	     11.27%	  0.4464
0.02.974.459 I    71	ffn_gate_exps       	 423775.25	  0.0991	     2.0983	  0.27	  0.06	  100.00%	1572864	   20.5495	 99.83%	     11.43%	  0.4463
0.02.974.461 I    76	ffn_gate_exps       	 412717.78	  0.0450	     8.3654	  0.26	  0.07	  100.00%	1572864	   20.5427	 99.79%	     11.78%	  0.5822
0.02.974.462 I    70	ffn_gate_exps       	 395554.38	  0.0847	     1.5160	  0.25	  0.06	  100.00%	1572864	   20.5543	 99.85%	     11.56%	  0.4095
0.02.974.464 I    69	ffn_gate_exps       	 380706.06	  0.0361	     1.3834	  0.24	  0.05	  100.00%	1572864	   20.5543	 99.85%	     11.78%	  0.4529
0.02.974.466 I    68	ffn_gate_exps       	 360406.25	  0.0678	     2.3793	  0.23	  0.05	  100.00%	1572864	   20.5534	 99.85%	     11.19%	  0.3880
0.02.974.468 I    67	ffn_gate_exps       	 340958.03	  0.0602	     2.5076	  0.22	  0.05	  100.00%	1572864	   20.5532	 99.85%	     10.21%	  0.3938
0.02.974.469 I    66	ffn_gate_exps       	 324551.75	  0.0724	     1.9123	  0.21	  0.04	  100.00%	1572864	   20.5562	 99.86%	     10.91%	  0.5106
0.02.974.471 I    65	ffn_gate_exps       	 299492.41	  0.0245	     2.9663	  0.19	  0.04	  100.00%	1572864	   20.5518	 99.84%	      9.74%	  0.4982
0.02.974.473 I    64	ffn_gate_exps       	 296181.56	  0.0491	     1.9563	  0.19	  0.04	  100.00%	1572864	   20.5554	 99.86%	     10.77%	  0.4426
0.02.974.474 I    63	ffn_gate_exps       	 286628.78	  0.0198	     2.3887	  0.18	  0.04	  100.00%	1572864	   20.5526	 99.84%	     10.28%	  0.4152
0.02.974.476 I    62	ffn_gate_exps       	 273090.09	  0.0594	     1.5075	  0.17	  0.04	  100.00%	1572864	   20.5567	 99.86%	     11.01%	  0.4754
0.02.974.477 I    61	ffn_gate_exps       	 261465.42	  0.0338	     1.5062	  0.17	  0.04	  100.00%	1572864	   20.5527	 99.84%	     11.09%	  0.4181
0.02.974.479 I    60	ffn_gate_exps       	 255066.98	  0.0410	     2.0613	  0.16	  0.04	  100.00%	1572864	   20.5526	 99.84%	     10.53%	  0.3874
0.02.974.481 I    59	ffn_gate_exps       	 242677.91	  0.0361	     1.2168	  0.15	  0.03	  100.00%	1572864	   20.5534	 99.85%	     11.15%	  0.4266
0.02.974.483 I    58	ffn_gate_exps       	 234653.94	  0.0325	     1.3703	  0.15	  0.03	  100.00%	1572864	   20.5520	 99.84%	     11.01%	  0.3744
0.02.974.484 I    77	ffn_gate_exps       	 227250.23	  0.0006	    20.9730	  0.14	  0.06	  100.00%	1572864	   20.5116	 99.64%	      9.17%	  0.5292
0.02.974.486 I    57	ffn_gate_exps       	 222712.12	  0.0138	     1.9193	  0.14	  0.04	  100.00%	1572864	   20.5478	 99.82%	     10.27%	  0.3176
0.02.974.487 I    56	ffn_gate_exps       	 216930.36	  0.0374	     1.2838	  0.14	  0.03	  100.00%	1572864	   20.5505	 99.83%	     10.73%	  0.3778
0.02.974.489 I    55	ffn_gate_exps       	 208976.50	  0.0230	     1.5714	  0.13	  0.03	  100.00%	1572864	   20.5495	 99.83%	     10.76%	  0.3803
0.02.974.491 I    54	ffn_gate_exps       	 200897.48	  0.0365	     1.3586	  0.13	  0.03	  100.00%	1572864	   20.5500	 99.83%	     10.66%	  0.3495
0.02.974.492 I    53	ffn_gate_exps       	 191295.66	  0.0247	     1.0783	  0.12	  0.03	  100.00%	1572864	   20.5517	 99.84%	     11.13%	  0.3752
0.02.974.494 I    52	ffn_gate_exps       	 188758.44	  0.0311	     1.0044	  0.12	  0.03	  100.00%	1572864	   20.5545	 99.85%	     11.16%	  0.4596
0.02.974.496 I    51	ffn_gate_exps       	 174917.33	  0.0157	     1.7749	  0.11	  0.03	  100.00%	1572864	   20.5484	 99.82%	      9.92%	  0.3583
0.02.974.497 I    50	ffn_gate_exps       	 169270.88	  0.0287	     0.9374	  0.11	  0.02	  100.00%	1572864	   20.5530	 99.84%	     11.33%	  0.3058
0.02.974.499 I    49	ffn_gate_exps       	 158369.70	  0.0324	     1.0519	  0.10	  0.02	  100.00%	1572864	   20.5481	 99.82%	     10.56%	  0.3949
0.02.974.501 I    48	ffn_gate_exps       	 147693.28	  0.0242	     1.0139	  0.09	  0.02	  100.00%	1572864	   20.5515	 99.84%	     10.93%	  0.4853
0.02.974.503 I    47	ffn_gate_exps       	 146374.00	  0.0184	     0.9751	  0.09	  0.02	  100.00%	1572864	   20.5499	 99.83%	     10.58%	  0.3655
0.02.974.504 I    46	ffn_gate_exps       	 139474.20	  0.0049	     0.9593	  0.09	  0.02	  100.00%	1572864	   20.5492	 99.83%	     10.37%	  0.4713
0.02.974.506 I    45	ffn_gate_exps       	 131893.06	  0.0295	     0.7709	  0.08	  0.02	  100.00%	1572864	   20.5527	 99.84%	     11.15%	  0.4129
0.02.974.507 I    44	ffn_gate_exps       	 121485.23	  0.0134	     1.1226	  0.08	  0.02	  100.00%	1572864	   20.5424	 99.79%	      9.83%	  0.4627
0.02.974.509 I    43	ffn_gate_exps       	 117082.30	  0.0007	     1.0333	  0.07	  0.02	  100.00%	1572864	   20.5434	 99.80%	     10.12%	  0.3239
0.02.974.511 I    42	ffn_gate_exps       	 108542.00	  0.0123	     0.9335	  0.07	  0.02	  100.00%	1572864	   20.5472	 99.82%	     10.06%	  0.3471
0.02.974.513 I    41	ffn_gate_exps       	 103161.63	  0.0121	     0.7140	  0.07	  0.02	  100.00%	1572864	   20.5476	 99.82%	     10.58%	  0.3884
0.02.974.514 I    40	ffn_gate_exps       	  97451.24	  0.0134	     0.8906	  0.06	  0.02	  100.00%	1572864	   20.5465	 99.81%	     10.51%	  0.3706
0.02.974.516 I    39	ffn_gate_exps       	  93239.70	  0.0103	     0.5271	  0.06	  0.01	  100.00%	1572864	   20.5520	 99.84%	     10.82%	  0.3418
0.02.974.518 I    38	ffn_gate_exps       	  88800.20	  0.0078	     0.5006	  0.06	  0.01	  100.00%	1572864	   20.5506	 99.83%	     10.57%	  0.4299
0.02.974.519 I    37	ffn_gate_exps       	  81374.42	  0.0062	     0.6513	  0.05	  0.01	  100.00%	1572864	   20.5482	 99.82%	      9.89%	  0.3758
0.02.974.521 I    36	ffn_gate_exps       	  77229.91	  0.0101	     0.7309	  0.05	  0.01	  100.00%	1572864	   20.5458	 99.81%	      9.88%	  0.4555
0.02.974.523 I    35	ffn_gate_exps       	  72465.42	  0.0077	     0.4923	  0.05	  0.01	  100.00%	1572864	   20.5486	 99.82%	     10.37%	  0.4439
0.02.974.524 I    34	ffn_gate_exps       	  67759.62	  0.0044	     0.4003	  0.04	  0.01	  100.00%	1572864	   20.5469	 99.82%	     10.49%	  0.3780
0.02.974.526 I    33	ffn_gate_exps       	  64080.60	  0.0098	     0.4426	  0.04	  0.01	  100.00%	1572864	   20.5446	 99.80%	     10.37%	  0.3633
0.02.974.528 I    32	ffn_gate_exps       	  55776.54	  0.0023	     0.3469	  0.04	  0.01	  100.00%	1572864	   20.5458	 99.81%	     11.02%	  0.3915
0.02.974.530 I    31	ffn_gate_exps       	  51771.87	  0.0062	     0.4032	  0.03	  0.01	  100.00%	1572864	   20.5453	 99.81%	     10.57%	  0.5156
0.02.974.531 I    30	ffn_gate_exps       	  43824.47	  0.0070	     0.3072	  0.03	  0.01	  100.00%	1572864	   20.5481	 99.82%	     10.65%	  0.5299
0.02.974.533 I    29	ffn_gate_exps       	  38833.71	  0.0035	     0.3494	  0.02	  0.01	  100.00%	1572864	   20.5419	 99.79%	     10.43%	  0.5188
0.02.974.534 I    28	ffn_gate_exps       	  35094.26	  0.0059	     0.3096	  0.02	  0.01	  100.00%	1572864	   20.5422	 99.79%	     10.56%	  0.5421
0.02.974.536 I    27	ffn_gate_exps       	  31034.21	  0.0059	     0.2959	  0.02	  0.01	  100.00%	1572864	   20.5402	 99.78%	     10.53%	  0.5497
0.02.974.538 I    26	ffn_gate_exps       	  26150.29	  0.0053	     0.1967	  0.02	  0.00	  100.00%	1572864	   20.5350	 99.76%	     10.91%	  0.6022
0.02.974.539 I    25	ffn_gate_exps       	  24336.94	  0.0048	     0.2658	  0.02	  0.00	  100.00%	1572864	   20.5336	 99.75%	     10.32%	  0.6080
0.02.974.541 I    24	ffn_gate_exps       	  22638.40	  0.0031	     0.2620	  0.01	  0.00	  100.00%	1572864	   20.5285	 99.73%	     10.19%	  0.6220
0.02.974.543 I    23	ffn_gate_exps       	  20539.90	  0.0028	     0.1980	  0.01	  0.00	  100.00%	1572864	   20.5228	 99.70%	      9.85%	  0.4882
0.02.974.544 I    22	ffn_gate_exps       	  19262.24	  0.0037	     0.2476	  0.01	  0.00	  100.00%	1572864	   20.5246	 99.71%	      9.42%	  0.4164
0.02.974.546 I    21	ffn_gate_exps       	  17860.12	  0.0017	     0.2177	  0.01	  0.00	  100.00%	1572864	   20.5233	 99.70%	      9.84%	  0.4087
